hgnc_id	symbol	name	aliases	ensembl_gene	ncbi_gene	locus	uniprot	mane_select
HGNC:16053	CFAP52	cilia and flagella associated protein 52	WDRPUH|FLJ37528	ENSG00000166596	146845	17p13.1	Q8N1V2	NM_145054.5
HGNC:16259	MAML2	mastermind like transcriptional coactivator 2	KIAA1819|MAM3	ENSG00000184384	84441	11q21	Q8IZL2	NM_032427.4
HGNC:16700	ZFPM2	zinc finger protein, FOG family member 2	PRDM19|FOG2|hFOG-2|ZNF89B	ENSG00000169946	23414	8q23	Q8WW38	NM_012082.4
HGNC:16867	RNF40	ring finger protein 40	KIAA0661|RBP95|BRE1B|STARING	ENSG00000103549	9810	16p11.2	O75150	NM_014771.4
HGNC:17075	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	KIAA0733	ENSG00000055208	23118	6q25.1	Q9NYJ8	NM_001292034.3
HGNC:171	ACVR1	activin A receptor type 1	SKR1|ALK2|ACVR1A	ENSG00000115170	90	2q24.1	Q04771	NM_001111067.4
HGNC:17111	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19		ENSG00000145808	171019	5q23.3	Q8TE59	NM_133638.6
HGNC:17229	CFAP45	cilia and flagella associated protein 45	NESG1	ENSG00000213085	25790	1q23.2	Q9UL16	NM_012337.3
HGNC:174	ACVR2B	activin A receptor type 2B	ActR-IIB	ENSG00000114739	93	3p22.2	Q13705	NM_001106.4
HGNC:1780	CDK9	cyclin dependent kinase 9	PITALRE|C-2k|TAK	ENSG00000136807	1025	9q34.11	P50750	NM_001261.4
HGNC:17985	ROBO4	roundabout guidance receptor 4	FLJ20798|MRB|ECSM4	ENSG00000154133	54538	11q24.2	Q8WZ75	NM_019055.6
HGNC:18053	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	PRO19563	ENSG00000158683	168507	7p12.3	Q8TDX9	NM_138295.5
HGNC:18196	SOX7	SRY-box transcription factor 7		ENSG00000171056	83595	8p23.1	Q9BT81	NM_031439.4
HGNC:18292	CFC1	cryptic, EGF-CFC family member 1	CRYPTIC	ENSG00000136698	55997	2q21.1	P0CG37	NM_032545.4
HGNC:1949	CHRD	chordin		ENSG00000090539	8646	3q27.1	Q9H2X0	NM_003741.4
HGNC:195	ADAM17	ADAM metallopeptidase domain 17	cSVP|CD156B	ENSG00000151694	6868	2p25.1	P78536	NM_003183.6
HGNC:19747	EVC2	EvC ciliary complex subunit 2	LBN	ENSG00000173040	132884	4p16.2	Q86UK5	NM_147127.5
HGNC:19762	ZFPM1	zinc finger protein, FOG family member 1	PRDM18|FOG1|FOG|ZNF89A	ENSG00000179588	161882	16q24.2	Q8IX07	NM_153813.3
HGNC:19769	ASB17	ankyrin repeat and SOCS box containing 17		ENSG00000154007	127247	1p31.1	Q8WXJ9	NM_080868.3
HGNC:1987	CITED2	Cbp/p300 interacting transactivator with ED-rich tail 2	MRG1	ENSG00000164442	10370	6q24.1	Q99967	NM_006079.5
HGNC:20064	USP44	ubiquitin specific peptidase 44	FLJ14528	ENSG00000136014	84101	12q22	Q9H0E7	NM_032147.5
HGNC:20066	USP34	ubiquitin specific peptidase 34	KIAA0570|KIAA0729	ENSG00000115464	9736	2p15	Q70CQ2	NM_014709.4
HGNC:20626	CHD7	chromodomain helicase DNA binding protein 7	KIAA1416|FLJ20357|FLJ20361	ENSG00000171316	55636	8q12.2	Q9P2D1	NM_017780.4
HGNC:20869	BMP10	bone morphogenetic protein 10		ENSG00000163217	27302	2p13.3	O95393	NM_014482.3
HGNC:21316	ANKRD11	ankyrin repeat domain 11	LZ16|T13|ANCO1|ANCO-1	ENSG00000167522	29123	16q24.3	Q6UB99	NM_013275.6
HGNC:2198	COL1A2	collagen type I alpha 2 chain		ENSG00000164692	1278	7q21.3	P08123	NM_000089.4
HGNC:22962	MED13L	mediator complex subunit 13L	KIAA1025|TRAP240L	ENSG00000123066	23389	12q24.21	Q71F56	NM_015335.5
HGNC:2363	CRKL	CRK like proto-oncogene, adaptor protein		ENSG00000099942	1399	22q11.21	P46109	NM_005207.4
HGNC:23688	BCL9L	BCL9 like	DLNB11|B9L|Bcl9-2	ENSG00000186174	283149	11q23.3	Q86UU0	NM_001378213.1
HGNC:24098	SORBS2	sorbin and SH3 domain containing 2	ARGBP2|KIAA0777	ENSG00000154556	8470	4q35.1	O94875	NM_001395207.1
HGNC:24595	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	D2LIC|LIC3|CGI-60|DKFZP564A033	ENSG00000138036	51626	2p21	Q8TCX1	NM_016008.4
HGNC:2469	CSRP1	cysteine and glycine rich protein 1	CSRP|D1S181E	ENSG00000159176	1465	1q32.1	P21291	NM_004078.3
HGNC:2488	NKX2-5	NK2 homeobox 5	CSX1|NKX2.5|NKX4-1	ENSG00000183072	1482	5q35.1	P52952	NM_004387.4
HGNC:2511	CTNNA3	catenin alpha 3	VR22|MGC26194	ENSG00000183230	29119	10q21.3	Q9UI47	NM_013266.4
HGNC:25636	MCTP2	multiple C2 and transmembrane domain containing 2	FLJ11175|FLJ33303	ENSG00000140563	55784	15q26.2	Q6DN12	NM_001385001.1
HGNC:26002	CASZ1	castor zinc finger 1	FLJ20321|ZNF693|castor|cst|SRG	ENSG00000130940	54897	1p36.22	Q86V15	NM_001079843.3
HGNC:26383	DAW1	dynein assembly factor with WD repeats 1	FLJ25955|ODA16|DNAAF18	ENSG00000123977	164781	2q36.3	Q8N136	NM_178821.3
HGNC:26530	CFAP53	cilia and flagella associated protein 53	FLJ32743	ENSG00000172361	220136	18q21.1	Q96M91	NM_145020.5
HGNC:26730	CIROZ	ciliated left-right organizer protein containing ZP-N domains	FLJ37118	ENSG00000175262	148345	1p36.22	Q8N9H9	NM_001170754.2
HGNC:26780	DAND5	DAN domain BMP antagonist family member 5	FLJ38607|CKTSF1B3|DANTE|GREM3|CER2|DTE|Coco	ENSG00000179284	199699	19p13.13	Q8N907	NM_152654.3
HGNC:28338	DENND5B	DENN domain containing 5B	MGC24039	ENSG00000170456	160518	12p11.21	Q6ZUT9	NM_144973.4
HGNC:2897	DLC1	DLC1 Rho GTPase activating protein	HP|ARHGAP7|STARD12|DLC-1|p122-RhoGAP	ENSG00000164741	10395	8p22	Q96QB1	NM_182643.3
HGNC:29141	WDR47	WD repeat domain 47	KIAA0893	ENSG00000085433	22911	1p13.3	O94967	NM_001142551.2
HGNC:29636	MNS1	meiosis specific nuclear structural 1	CFAP127|FLJ11222|SPATA40	ENSG00000138587	55329	15q21.3	Q8NEH6	NM_018365.4
HGNC:29658	MESP1	mesoderm posterior bHLH transcription factor 1	MGC10676|bHLHc5	ENSG00000166823	55897	15q26.1	Q9BRJ9	NM_018670.4
HGNC:3057	DTNA	dystrobrevin alpha	D18S892E|DTN|DTN-1|DTN-2|DTN-3|DRP3	ENSG00000134769	1837	18q12.1	Q9Y4J8	NM_001386795.1
HGNC:3122	LEFTY2	left-right determination factor 2	LEFTA|LEFTYA	ENSG00000143768	7044	1q42.12	O00292	NM_003240.5
HGNC:3227	EFNB2	ephrin B2	LERK5|Htk-L|HTKL|MGC126226|MGC126227|MGC126228	ENSG00000125266	1948	13q33.3	P52799	NM_004093.4
HGNC:32940	NKX2-6	NK2 homeobox 6	CSX2|NKX4-2	ENSG00000180053	137814	8p21.2	A6NCS4	NM_001136271.3
HGNC:3327	ELN	elastin	WBS|WS|SVAS	ENSG00000049540	2006	7q11.23	P15502	NM_000501.4
HGNC:3488	ETS1	ETS proto-oncogene 1, transcription factor	FLJ10768|ETS-1	ENSG00000134954	2113	11q24.3	P14921	NM_001143820.2
HGNC:3491	ETV2	ETS variant transcription factor 2	ER71	ENSG00000105672	2116	19q13.12	O00321	NM_014209.4
HGNC:3497	EVC	EvC ciliary complex subunit 1	DWF-1|EVC1	ENSG00000072840	2121	4p16.2	P57679	NM_153717.3
HGNC:3601	FBLN2	fibulin 2		ENSG00000163520	2199	3p25.1	P98095	NM_001004019.2
HGNC:3666	FGF10	fibroblast growth factor 10		ENSG00000070193	2255	5p12	O15520	NM_004465.2
HGNC:3686	FGF8	fibroblast growth factor 8	AIGF	ENSG00000107831	2253	10q24.32	P55075	NM_033163.5
HGNC:3754	FLNA	filamin A	ABP-280	ENSG00000196924	2316	Xq28	P21333	NM_001110556.2
HGNC:3767	FLT4	fms related receptor tyrosine kinase 4	VEGFR3|PCL|VEGFR-3	ENSG00000037280	2324	5q35.3	P35916	NM_182925.5
HGNC:3773	FMO5	flavin containing dimethylaniline monoxygenase 5		ENSG00000131781	2330	1q21.1	P49326	NM_001461.4
HGNC:3814	FOXH1	forkhead box H1	FAST1	ENSG00000160973	8928	8q24.3	O75593	NM_003923.3
HGNC:3817	FOXL1	forkhead box L1	FREAC7|FKH6	ENSG00000176678	2300	16q24.1	Q12952	NM_005250.3
HGNC:3823	FOXP1	forkhead box P1	QRF1|12CC4|HSPC215|hFKH1B	ENSG00000114861	27086	3p13	Q9H334	NM_001349338.3
HGNC:4173	GATA4	GATA binding protein 4		ENSG00000136574	2626	8p23.1	P43694	NM_001308093.3
HGNC:4174	GATA6	GATA binding protein 6		ENSG00000141448	2627	18q11.2	Q92908	NM_005257.6
HGNC:4214	GDF1	growth differentiation factor 1		ENSG00000130283	2657	19p13.11	P27539	NM_001492.6
HGNC:4274	GJA1	gap junction protein alpha 1	CX43|ODD|ODOD|SDTY3	ENSG00000152661	2697	6q22.31	P17302	NM_000165.5
HGNC:4279	GJA5	gap junction protein alpha 5	CX40	ENSG00000265107	2702	1q21.2	P36382	NM_181703.4
HGNC:4317	GLI1	GLI family zinc finger 1		ENSG00000111087	2735	12q13.3	P08151	NM_005269.3
HGNC:4807	HAND1	heart and neural crest derivatives expressed 1	eHand|Thing1|Hxt|bHLHa27	ENSG00000113196	9421	5q33.2	O96004	NM_004821.3
HGNC:4808	HAND2	heart and neural crest derivatives expressed 2	dHand|Thing2|Hed|bHLHa26	ENSG00000164107	9464	4q34.1	P61296	NM_021973.3
HGNC:4819	HAS2	hyaluronan synthase 2		ENSG00000170961	3037	8q24.13	Q92819	NM_005328.3
HGNC:4852	HDAC1	histone deacetylase 1	HD1|GON-10|KDAC1	ENSG00000116478	3065	1p35.2-p35.1	Q13547	NM_004964.3
HGNC:4880	HEY1	hes related family bHLH transcription factor with YRPW motif 1	HESR-1|CHF2|HESR1|HRT-1|CHF-2|HERP2|bHLHb31	ENSG00000164683	23462	8q21.13	Q9Y5J3	NM_012258.4
HGNC:4881	HEY2	hes related family bHLH transcription factor with YRPW motif 2	bHLHb32|HERP1|HESR2	ENSG00000135547	23493	6q22.31	Q9UBP5	NM_012259.3
HGNC:5361	ID2	inhibitor of DNA binding 2	GIG8|bHLHb26	ENSG00000115738	3398	2p25.1	Q02363	NM_002166.5
HGNC:53647	CIROP	ciliated left-right organizer metallopeptidase		ENSG00000283654	100128908	14q11.2	A0A1B0GTW7	NM_001354640.2
HGNC:6129	IRX4	iroquois homeobox 4		ENSG00000113430	50805	5p15.33	P78413	NM_016358.3
HGNC:6132	ISL1	ISL LIM homeobox 1	Isl-1|ISLET1	ENSG00000016082	3670	5q11.1	P61371	NM_002202.3
HGNC:6188	JAG1	jagged canonical Notch ligand 1	AHD|AWS|HJ1|CD339	ENSG00000101384	182	20p12.2	P78504	NM_000214.3
HGNC:6263	KCNJ2	potassium inwardly rectifying channel subfamily J member 2	Kir2.1|IRK1|LQT7	ENSG00000123700	3759	17q24.3	P63252	NM_000891.3
HGNC:6307	KDR	kinase insert domain receptor	FLK1|VEGFR|VEGFR2|CD309	ENSG00000128052	3791	4q12	P35968	NM_002253.4
HGNC:6694	LRP2	LDL receptor related protein 2	gp330|DBS	ENSG00000081479	4036	2q31.1	P98164	NM_004525.3
HGNC:6767	SMAD1	SMAD family member 1	MADR1|JV4-1	ENSG00000170365	4086	4q31.21	Q15797	NM_005900.3
HGNC:6768	SMAD2	SMAD family member 2	MADR2|JV18-1	ENSG00000175387	4087	18q21.1	Q15796	NM_005901.6
HGNC:6772	SMAD6	SMAD family member 6	HsT17432	ENSG00000137834	4091	15q22.31	O43541	NM_005585.5
HGNC:6773	SMAD7	SMAD family member 7		ENSG00000101665	4092	18q21.1	O15105	NM_005904.4
HGNC:7133	KMT2D	lysine methyltransferase 2D	ALR|MLL4|CAGL114	ENSG00000167548	8085	12q13.12	O14686	NM_003482.4
HGNC:7161	MMP15	matrix metallopeptidase 15	MT2-MMP|MTMMP2|SMCP-2	ENSG00000102996	4324	16q21	P51511	NM_002428.4
HGNC:7551	MYBPC3	myosin binding protein C3	FHC|cMyBP-C	ENSG00000134571	4607	11p11.2	Q14896	NM_000256.3
HGNC:7569	MYH11	myosin heavy chain 11	SMMHC|SMHC|SMMS-1	ENSG00000133392	4629	16p13.11	P35749	NM_002474.3
HGNC:7576	MYH6	myosin heavy chain 6		ENSG00000197616	4624	14q11.2	P13533	NM_002471.4
HGNC:7577	MYH7	myosin heavy chain 7	CMD1S	ENSG00000092054	4625	14q11.2	P12883	NM_000257.4
HGNC:7613	MYOM1	myomesin 1		ENSG00000101605	8736	18p11.31	P52179	NM_003803.4
HGNC:7775	NFATC1	nuclear factor of activated T cells 1	NF-ATC|NFATc|NFAT2	ENSG00000131196	4772	18q23	O95644	NM_001278669.2
HGNC:7776	NFATC2	nuclear factor of activated T cells 2	NF-ATP|NFATp|NFAT1	ENSG00000101096	4773	20q13.2	Q13469	NM_012340.5
HGNC:782	ATE1	arginyltransferase 1		ENSG00000107669	11101	10q26.13	O95260	NM_001001976.3
HGNC:7865	NODAL	nodal growth differentiation factor		ENSG00000156574	4838	10q22.1	Q96S42	NM_018055.5
HGNC:7881	NOTCH1	notch receptor 1		ENSG00000148400	4851	9q34.3	P46531	NM_017617.5
HGNC:7882	NOTCH2	notch receptor 2		ENSG00000134250	4853	1p12	Q04721	NM_024408.4
HGNC:7976	NR2F2	nuclear receptor subfamily 2 group F member 2	COUP-TFII|COUPTFB|SVP40|NF-E3|COUPTF2	ENSG00000185551	7026	15q26.2	P24468	NM_021005.4
HGNC:8004	NRP1	neuropilin 1	NRP|VEGF165R|CD304	ENSG00000099250	8829	10p11.22	O14786	NM_003873.7
HGNC:8033	NTRK3	neurotrophic receptor tyrosine kinase 3	TRKC	ENSG00000140538	4916	15q25.3	Q16288	NM_001012338.3
HGNC:8111	OSR1	odd-skipped related transcription factor 1		ENSG00000143867	130497	2p24.1	Q8TAX0	NM_145260.3
HGNC:8569	PCSK6	proprotein convertase subtilisin/kexin type 6	SPC4	ENSG00000140479	5046	15q26.3	P29122	NM_002570.5
HGNC:8747	PCSK5	proprotein convertase subtilisin/kexin type 5	PC5|PC6|SPC6	ENSG00000099139	5125	9q21.13	Q92824	NM_001372043.1
HGNC:8803	PDGFRA	platelet derived growth factor receptor alpha	CD140a|PDGFR2|GAS9	ENSG00000134853	5156	4q12	P16234	NM_006206.6
HGNC:9067	PLD1	phospholipase D1		ENSG00000075651	5337	3q26.31	Q13393	NM_002662.5
HGNC:9107	PLXND1	plexin D1	KIAA0620	ENSG00000004399	23129	3q22.1	Q9Y4D7	NM_015103.3
HGNC:9350	PRDM6	PR/SET domain 6	PRISM|KMT8C	ENSG00000061455	93166	5q23.2	Q9NQX0	NM_001136239.4
HGNC:9379	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2		ENSG00000131791	5565	1q21.1	O43741	NM_005399.5
HGNC:9380	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	PKACa	ENSG00000072062	5566	19p13.12	P17612	NM_002730.4
HGNC:9381	PRKACB	protein kinase cAMP-activated catalytic subunit beta	PKACb	ENSG00000142875	5567	1p31.1	P22694	NM_182948.4
HGNC:9407	PRKD1	protein kinase D1	PKD1|PKCM|PKD|PKC-mu	ENSG00000184304	5587	14q12	Q15139	NM_002742.3
HGNC:9459	PROX1	prospero homeobox 1		ENSG00000117707	5629	1q32.3	Q92786	NM_001270616.2
HGNC:9787	KIF20A	kinesin family member 20A	MKLP2	ENSG00000112984	10112	5q31.2	O95235	NM_005733.3
HGNC:9835	RAI2	retinoic acid induced 2		ENSG00000131831	10742	Xp22.13	Q9Y5P3	NM_021785.6
HGNC:9886	KDM5A	lysine demethylase 5A		ENSG00000073614	5927	12p13.33	P29375	NM_001042603.3
HGNC:9896	RBM10	RNA binding motif protein 10	DXS8237E|KIAA0122|GPATC9|ZRANB5|GPATCH9|S1-1	ENSG00000182872	8241	Xp11.3	P0DW28	NM_005676.5
HGNC:9906	RBFOX2	RNA binding fox-1 homolog 2	HNRBP2|FOX-2|HRNBP2	ENSG00000100320	23543	22q12.3	O43251	NM_001349999.2
HGNC:9949	RECQL4	RecQ like helicase 4	RecQ4	ENSG00000160957	9401	8q24.3	O94761	NM_004260.4
